Prefix RunNumber Configuration Runtime CreatedEvents Sec/Simsec StudyParameter
mpi_nma_channeldelay_100ms 36 Modular 9.576s 2000002 6.102786 30000 0
mpi_nma_channeldelay_100ms 36 Modular 8.527s 5792244 7.039668 30000 1
mpi_nma_channeldelay_100ms 0 Monolithic 2645.721s 600000002 0.0243988846697 100 0
mpi_nma_channeldelay_100ms 0 Monolithic 2441.977s 599600008 0.0245760481572 100 1
mpi_nma_channeldelay_100ms 1 Monolithic 1217.872s 300000002 0.0492662068966 200 0
mpi_nma_channeldelay_100ms 1 Monolithic 1208.604s 300100008 0.0496570971901 200 1
mpi_nma_channeldelay_100ms 2 Monolithic 809.795s 200000002 0.0740758553086 300 0
mpi_nma_channeldelay_100ms 2 Monolithic 803.263s 200266675 0.0747151952736 300 1
mpi_nma_channeldelay_100ms 3 Monolithic 620.004s 150000002 0.0967780983871 400 0
mpi_nma_channeldelay_100ms 3 Monolithic 614.858s 150350008 0.0976065068182 400 1
mpi_nma_channeldelay_100ms 4 Monolithic 490.666s 120000002 0.122048622764 500 0
mpi_nma_channeldelay_100ms 4 Monolithic 486.365s 120400008 0.123395635246 500 1
mpi_nma_channeldelay_100ms 5 Monolithic 406.226s 100000002 0.147243353922 600 0
mpi_nma_channeldelay_100ms 5 Monolithic 402.467s 100433342 0.149024173267 600 1
mpi_nma_channeldelay_100ms 6 Monolithic 347.899s 85714288 0.172438294828 700 0
mpi_nma_channeldelay_100ms 6 Monolithic 344.577s 86171437 0.174174456647 700 1
mpi_nma_channeldelay_100ms 7 Monolithic 315.453s 75000002 0.189976875949 800 0
mpi_nma_channeldelay_100ms 7 Monolithic 312.402s 75475008 0.192121038217 800 1
mpi_nma_channeldelay_100ms 8 Monolithic 272.803s 66666669 0.220113269853 900 0
mpi_nma_channeldelay_100ms 8 Monolithic 269.985s 67155564 0.222287459259 900 1
mpi_nma_channeldelay_100ms 9 Monolithic 245.725s 60000002 0.243959371545 1000 0
mpi_nma_channeldelay_100ms 9 Monolithic 243.063s 60500008 0.24690952459 1000 1
mpi_nma_channeldelay_100ms 10 Monolithic 222.354s 54545457 0.269773977477 1100 0
mpi_nma_channeldelay_100ms 10 Monolithic 219.847s 55054554 0.272985763636 1100 1
mpi_nma_channeldelay_100ms 11 Monolithic 202.304s 50000002 0.296415532673 1200 0
mpi_nma_channeldelay_100ms 11 Monolithic 199.924s 50516675 0.30018281 1200 1
mpi_nma_channeldelay_100ms 12 Monolithic 190.617s 46153849 0.31314685625 1300 0
mpi_nma_channeldelay_100ms 12 Monolithic 188.340s 46676932 0.318469357895 1300 1
mpi_nma_channeldelay_100ms 13 Monolithic 175.057s 42857145 0.341433844318 1400 0
mpi_nma_channeldelay_100ms 13 Monolithic 172.876s 43385723 0.347170195402 1400 1
mpi_nma_channeldelay_100ms 14 Monolithic 162.541s 40000002 0.366773047561 1500 0
mpi_nma_channeldelay_100ms 14 Monolithic 160.431s 40533342 0.374080962963 1500 1
mpi_nma_channeldelay_100ms 15 Monolithic 165.525s 40000002 0.361448289157 1500 0
