Time Difference Ratio
0.0 -0.7250000000000001 0.7937997724687145
1.0 -0.7230000000000003 0.7921219091431857
2.0 -0.5990000000000002 0.8280218202698822
3.0 -0.26800000000000024 0.923319027181688
4.0 -0.6510000000000002 0.8136805953062393
5.0 -1.6850000000000005 0.6295889206418992
6.0 -0.8959999999999999 0.7598499061913696
7.0 -0.855 0.768229872594199
8.0 -0.7389999999999999 0.7919481981981983
9.0 -0.6840000000000002 0.8065063649222065
10.0 -0.774 0.7827673309009262
11.0 -0.6440000000000001 0.8170974155069582
12.0 -0.6870000000000003 0.8034334763948497
13.0 -0.6960000000000002 0.8010291595197255
