Time Difference Ratio
1.0 -275734086.656 0.3768637031502708
2.0 -254593338.112 0.3968170723988815
3.0 -274398720.0 0.3804022671240993
4.0 -272860583.424 0.3832977782656799
5.0 -275087597.056 0.3812862689707099
6.0 -273061954.304 0.38218584965532026
7.0 -273011334.656 0.38320860924384237
8.0 -276262749.696 0.37830469837914094
9.0 -275504858.624 0.381015653400523
10.0 -276487969.792 0.3788237618359506
15.0 -277889400.32 0.3771855477457969
400.0 -273451430.144 0.3829253090987772
20.0 -277810024.96 0.37894092394351453
25.0 -276648372.992 0.37974748779392486
30.0 -276600232.448 0.37977815465746434
35.0 -276747171.584 0.3797310156236587
40.0 -276873258.75200003 0.3788908829650195
300.0 -261953669.888 0.39073796064667216
45.0 -276894392.064 0.38010425414897375
50.0 -279869082.36800003 0.3738426199250494
60.0 -259789760.51200002 0.3941592216942981
70.0 -260591488.51200002 0.39442610605957173
200.0 -275575348.224 0.38097205245525856
80.0 -255626387.968 0.3986794784007635
90.0 -265843014.39999998 0.3890775077162883
100.0 -274045989.632 0.3806624930024545
500.0 -274049327.36 0.381625217209589
