Time Difference Ratio
4000.0 -361670498.048 0.33639598202504195
2000.0 -393802937.85599995 0.3223821038684247
2500.0 -395870857.72800004 0.32100151016900974
1000.0 -404191836.15999997 0.31505268379809226
3500.0 -376962583.55200005 0.3289572544061495
1100.0 -399474364.416 0.3206554688128867
1200.0 -400593878.01600003 0.31932476745383026
3000.0 -395168242.68799996 0.31905172472555404
5000.0 -364890973.44000006 0.3376528719449946
1300.0 -397257496.576 0.32038157107273535
1400.0 -401390456.832 0.3185852938459384
4500.0 -379568259.32799995 0.3282194622737943
1500.0 -400925362.944 0.31824339788995826
