Time Difference Ratio
4000.0 -408974121.98399997 0.39768838499679526
2000.0 -408610234.88 0.40331688688216966
2500.0 -409155335.936 0.40158295606474437
1000.0 -396370346.752 0.42351214432342443
3500.0 -413639468.288 0.3938335635030382
1100.0 -395302764.544 0.422381001528616
1200.0 -348026210.56000006 0.4557567548280728
3000.0 -397840459.26400006 0.4114004376243796
5000.0 -427585594.36800003 0.37750897681816964
1300.0 -397880001.79200006 0.4144811129767635
1400.0 -393552961.28 0.422159585855671
4500.0 -418375937.536 0.3847681372564591
1500.0 -394382361.344 0.4235289514411004
