Time Difference Ratio
1.0 -613469302.272 0.16673508286645194
2.0 -608678442.24 0.17160015904481465
3.0 -608565195.776 0.1712696749370972
4.0 -602396270.336 0.17261331400990979
5.0 -615749213.952 0.1622893299971984
6.0 -611280229.888 0.17012022809305571
7.0 -615988921.8560001 0.1640223689700846
8.0 -598293170.944 0.17295699035683465
9.0 -594010225.92 0.17344272731702332
10.0 -578407182.336 0.17832121946584467
15.0 -594336348.928 0.17512451920873084
400.0 -613293182.2080001 0.16996326909892054
20.0 -587863407.36 0.17473709397125167
25.0 -584790018.304 0.17671557775669966
30.0 -582106222.336 0.17620502310530592
35.0 -600853446.4 0.16974867602942958
40.0 -610970488.064 0.1622685496572874
300.0 -609090907.136 0.17082709867174484
45.0 -598787645.44 0.17403788111122084
50.0 -592969393.152 0.17565019088318667
60.0 -596409455.616 0.17443899460437243
70.0 -598814794.496 0.173874421725014
200.0 -599282377.728 0.1735135039813695
80.0 -612360972.544 0.1712520810583455
90.0 -606359829.504 0.1721095175679258
100.0 -613159777.536 0.16885166530088935
500.0 -613406367.488 0.16942047556689413
