Time Difference Ratio
1.0 0.975 2.857142857142857
2.0 1.004 2.9686274509803923
3.0 0.7729999999999999 2.515686274509804
4.0 0.7699999999999999 2.5009746588693953
5.0 0.8629999999999999 2.682261208576998
6.0 0.7539999999999999 2.4697855750487325
7.0 0.7999999999999999 2.5594541910331383
8.0 0.7849999999999999 2.486742424242424
9.0 0.8310000000000001 2.619883040935673
10.0 0.893 2.7931726907630523
15.0 0.987 2.9239766081871346
400.0 0.739 2.4405458089668617
20.0 0.893 2.737354085603113
25.0 0.8470000000000001 2.6510721247563356
30.0 0.785 2.530214424951267
35.0 0.878 2.711500974658869
40.0 0.7539999999999999 2.425330812854442
300.0 0.7539999999999999 2.4697855750487325
45.0 0.7229999999999999 2.3290441176470584
50.0 0.831 2.5275735294117645
60.0 0.8 2.3913043478260874
70.0 0.8459999999999999 2.555147058823529
200.0 0.7699999999999999 2.5009746588693953
80.0 0.755 2.4717348927875245
90.0 0.7379999999999999 2.4385964912280698
100.0 0.739 2.4405458089668617
500.0 0.7699999999999999 2.5009746588693953
