Time Difference Ratio
4000.0 4.506 1.6356326703343207
2000.0 8.104 1.5772079772079772
2500.0 7.470000000000001 1.6654195617316943
1000.0 15.669 1.5495195342638703
3500.0 5.183999999999999 1.6463034534347336
1100.0 12.405999999999999 1.4287392867016864
1200.0 13.625999999999998 1.5818849553743006
3000.0 5.796000000000001 1.6185699039487729
5000.0 3.5789999999999997 1.6275644397685427
1300.0 12.838999999999999 1.5896482042803342
1400.0 11.462 1.5714428158340812
4500.0 3.808 1.5692928688892211
1500.0 10.931000000000001 1.5867103215071656
