Time Difference Ratio
1.0 1.005 1.1711803781297905
2.0 0.9690000000000012 1.1640982218458935
3.0 0.886000000000001 1.1521030042918456
4.0 3.003 1.5061520310129783
5.0 3.639999999999999 1.6106357993625229
6.0 0.6719999999999988 1.1144609095554419
7.0 1.1639999999999997 1.1963231573621183
8.0 1.3739999999999997 1.2271074380165288
9.0 5.2269999999999985 1.8815989205599593
10.0 5.269 1.9064166523309822
15.0 2.8260000000000005 1.4755974419387412
400.0 0.7450000000000001 1.127918956043956
20.0 1.1049999999999995 1.1837379447954772
25.0 0.657 1.108702845797485
30.0 1.0120000000000005 1.1735551363402505
35.0 0.7010000000000005 1.1163485477178423
40.0 0.870000000000001 1.1490491690937128
300.0 0.8980000000000006 1.1500417710944029
45.0 0.6360000000000001 1.1047948591201187
50.0 0.8680000000000003 1.1460541813898706
60.0 0.6779999999999999 1.1166150670794635
70.0 1.0630000000000006 1.1818026338293144
200.0 0.3180000000000005 1.0507096156912774
80.0 0.46699999999999964 1.0771900826446281
90.0 0.6210000000000004 1.1057021276595747
100.0 0.6120000000000001 1.1039578732801087
500.0 0.6159999999999997 1.1047440911409623
