Time Difference Ratio
1.0 0.891 3.302325581395349
2.0 0.899 3.3229974160206717
3.0 1.052 3.697435897435897
4.0 0.8829999999999999 3.275773195876288
5.0 0.88 3.167487684729064
6.0 0.8979999999999999 3.320413436692506
7.0 0.8849999999999999 3.2461928934010147
8.0 0.93 3.372448979591837
9.0 0.895 3.3126614987080103
10.0 0.988 3.4516129032258065
15.0 0.8899999999999999 3.348284960422163
400.0 0.894 3.365079365079365
20.0 0.892 3.372340425531915
25.0 0.8919999999999999 3.36604774535809
30.0 0.8939999999999999 3.371352785145888
35.0 0.888 3.336842105263158
40.0 0.8789999999999999 3.2423469387755097
300.0 0.9059999999999999 3.3779527559055116
45.0 0.889 3.3211488250652743
50.0 0.8959999999999999 3.364116094986807
60.0 0.8609999999999999 3.141791044776119
70.0 0.901 3.3648293963254594
200.0 0.889 3.345646437994723
80.0 0.8859999999999999 3.3501326259946946
90.0 0.907 3.405835543766578
100.0 0.886 3.3439153439153437
500.0 0.8889999999999999 3.3518518518518516
