Time Difference Ratio
900.0 87.465 6.205010711735302
5000.0 16.437 4.380012338062924
3500.0 21.093999999999998 4.316145260179217
400.0 202.06 6.676161582111354
7000.0 10.419 3.321524064171123
1300.0 60.719 5.370159781200518
15000.0 4.425 2.1969164187178793
9500.0 7.443 2.8153658536585366
800.0 108.527 6.73700903948829
30000.0 1.3910000000000005 1.391059881922969
9000.0 7.745000000000001 2.787032764190125
300.0 281.74800000000005 7.289158240139289
1200.0 67.265 5.865813078703703
8500.0 8.422 2.9732895970009374
20000.0 2.957 1.7684511434511434
3000.0 25.127000000000002 4.345805592543276
700.0 114.791 6.254554609539504
8000.0 8.846 2.9749944183969634
4000.0 18.236 4.060245007551603
2500.0 29.883000000000003 4.691537986411364
200.0 540.55 8.889743552318537
7500.0 9.581 3.1286380804265717
1100.0 72.943 6.034718387631143
2000.0 36.608999999999995 4.751690920270548
600.0 132.436 6.018796422616341
6500.0 11.291 3.3469133236333404
1500.0 50.814 5.536559235782519
10000.0 6.797000000000001 2.609138257575758
100.0 784.52 7.021752980096868
1000.0 80.006 5.9714782824830674
6000.0 12.162999999999998 3.5520352496852703
25000.0 1.8979999999999997 1.4871663244353182
500.0 155.435 5.430367118914605
1400.0 55.01299999999999 5.951219512195121
4500.0 16.666 4.054618768328446
5500.0 14.661000000000001 3.849562682215744
