Time Difference Ratio
900.0 176.962 6.429781227946365
5000.0 34.906000000000006 5.008037662188541
3500.0 44.22 4.777872703972661
400.0 406.153 6.787386540133088
7000.0 22.869 3.872989949748743
1300.0 123.47100000000002 5.612117589929402
15000.0 10.883000000000001 2.706869510664994
9500.0 16.918 3.355283307810107
800.0 219.088 6.950890916992611
30000.0 4.815000000000001 1.7898622047244097
9000.0 17.521 3.2897281756403562
300.0 565.528 7.384303631704317
1200.0 136.563 6.128163725122042
8500.0 18.877000000000002 3.510573214523208
20000.0 7.947 2.1900269541778976
3000.0 52.28500000000001 4.7338427479825755
700.0 231.61399999999998 6.427265910582059
8000.0 19.723999999999997 3.4838181589220496
4000.0 38.507000000000005 4.533400623967701
2500.0 61.798 5.072892638238977
200.0 1083.133 8.96374477971884
7500.0 21.194000000000003 3.6542266750156545
1100.0 147.923 6.291468431407619
2000.0 75.25 5.0675675675675675
600.0 266.906 6.1567070461175835
6500.0 24.614 3.860429982568274
1500.0 103.66300000000001 5.848143298101207
10000.0 15.628 3.1033647375504714
100.0 1571.071 7.053173823421757
1000.0 162.045 6.198915589207225
6000.0 26.36 4.096440737695289
25000.0 5.827999999999999 1.860221402214022
500.0 312.90299999999996 5.524923717661348
1400.0 112.05799999999998 6.284508370667295
4500.0 35.366 4.573767178658043
5500.0 31.35 4.379325212892099
