Time Difference Ratio
1.0 -0.5139999999999998 0.8507549361207898
2.0 -0.5329999999999999 0.8459982663969952
3.0 -0.573 0.8325051154633148
4.0 0.4849999999999999 1.139568345323741
5.0 0.8040000000000003 1.230438521066208
6.0 -0.6800000000000002 0.8025551684088269
7.0 -0.4339999999999997 0.875035991937806
8.0 -0.32899999999999974 0.9068780073591849
9.0 1.5990000000000002 1.4604088684134755
10.0 1.6049999999999995 1.4699853587115665
15.0 0.395 1.1135383730957171
400.0 -0.6439999999999997 0.8117509500146157
20.0 -0.4630000000000001 0.8682788051209104
25.0 -0.6880000000000002 0.8051543472104219
30.0 -0.5099999999999998 0.851051401869159
35.0 -0.6689999999999996 0.8100511073253834
40.0 -0.581 0.8304639626495477
300.0 -0.5669999999999997 0.8380462724935733
45.0 -0.698 0.8029918148461755
50.0 -0.5819999999999999 0.8327586206896552
60.0 -0.677 0.8017569546120058
70.0 -0.4849999999999999 0.8586829836829837
200.0 -0.8570000000000002 0.7648188803512623
80.0 -0.7829999999999999 0.7784380305602716
90.0 -0.706 0.7951247823563552
100.0 -0.71 0.7943221320973349
500.0 -0.7079999999999997 0.7947231081472891
