Time Difference Ratio
900.0 -300808701.184 0.44328704373417915
5000.0 -328244471.80799997 0.40443915123482616
3500.0 -328043622.91200006 0.4189925031375968
400.0 -302789348.60800004 0.4364633762245269
7000.0 -366479185.408 0.3507182571356107
1300.0 -306875620.09599996 0.43766866554044837
15000.0 -329741106.176 0.4014679815783405
9500.0 -343319397.37600005 0.393654030169202
800.0 -304157055.48800004 0.4380291184148534
30000.0 -342102490.62399995 0.3706348500585586
9000.0 -357437527.80799997 0.3857312973684983
300.0 -287431372.544 0.4573763702652567
1200.0 -318326775.03999996 0.42698251586817687
8500.0 -339860886.528 0.3974249794906054
20000.0 -362001305.6 0.36387092757400424
3000.0 -334074540.03200006 0.40844354396082805
700.0 -306299271.424 0.4351155303996104
8000.0 -341554326.01600003 0.39870518279502504
4000.0 -317522067.712 0.42362961758670536
2500.0 -328025778.176 0.4188009837832722
200.0 -291526820.608 0.4539301296645286
7500.0 -334251774.464 0.40487035458756016
1100.0 -325563768.576 0.4200398223276987
2000.0 -319844805.12 0.428744566376534
600.0 -308408155.13600004 0.435591530179662
6500.0 -345919363.84000003 0.3875930284441093
1500.0 -323553115.13600004 0.4241098018761556
10000.0 -318681335.55200005 0.4151651800666233
100.0 -299829890.816 0.445763297857015
1000.0 -307892069.632 0.41796527645622517
6000.0 -337504015.872 0.4035967520093486
25000.0 -348453387.776 0.37229743678307564
500.0 -281819584.512 0.45355355791058877
1400.0 -323036025.6 0.42363672765100935
4500.0 -326365674.49600005 0.4193539144560226
5500.0 -343927716.09599996 0.4027380656265713
