Time Difference Ratio
1.0 -445134172.416 0.2723641908136571
2.0 -441821362.944 0.27383645164544956
3.0 -443865374.464 0.2734856439975883
4.0 -445191480.576 0.2736683227863024
5.0 -428168688.64 0.28140199462603577
6.0 -440928713.472 0.27511481505151597
7.0 -446259188.48 0.2726875273632706
8.0 -452823201.02400005 0.26345956043589164
9.0 -439317753.344 0.2772814862708471
10.0 -447732055.55200005 0.27032826827763323
15.0 -441812355.84000003 0.2756745929369118
400.0 -431616893.184 0.28066321480469486
20.0 -443037947.90400004 0.274111157457853
25.0 -440505217.536 0.27576584426101824
30.0 -458183282.68799996 0.2506042543862019
35.0 -424443216.128 0.281803789760785
40.0 -439617411.32799995 0.2768611670115017
300.0 -445569551.61600006 0.2744581312132218
45.0 -442142683.648 0.27428671749054007
50.0 -437679447.03999996 0.27784205884757845
60.0 -446723078.656 0.2717871817621432
70.0 -443145705.21599996 0.27492997613678427
200.0 -446930503.168 0.26482168061355865
80.0 -445317755.13600004 0.2732927164537484
90.0 -452372458.24 0.2607621887831642
100.0 -438605001.472 0.2776283129806873
500.0 -438345432.832 0.2767057789785537
